firmware,bug_id,category,causality_score
dlink/dap2310_v1.00_o772.bin,17,MID,1.0
dlink/dap2310_v1.00_o772.bin,18,MID,1.0
dlink/dap2310_v1.00_o772.bin,20,MII,0.0
dlink/dap2310_v1.00_o772.bin,21,MII,1.0
dlink/dap2310_v1.00_o772.bin,22,MII,1.0
dlink/dir300_v1.03_7c.bin,23,MID,1.0
dlink/dir300_v1.03_7c.bin,24,MID,1.0
dlink/dir300_v1.03_7c.bin,25,MII,1.0
dlink/dir300_v1.03_7c.bin,26,MII,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,9,OIB,1.0
netgear/DGN3500-V1.1.00.30_NA.zip,0,OIB,0.0
netgear/DGN3500-V1.1.00.30_NA.zip,1,MII,0.0
netgear/DGN3500-V1.1.00.30_NA.zip,2,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,3,OIB,0.5
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,4,MID,1.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,OIB,1.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,11,OIB,0.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,12,OID,0.2
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,13,OID,1.0
tplink/TL-WPA8630_US__V2_171011.zip,14,OIB,0.778
tplink/TL-WPA8630_US__V2_171011.zip,15,OIB,0.0
tplink/TL-WPA8630_US__V2_171011.zip,16,MII,0.0
trendnet/FW_TV-IP121WN_1.2.2.zip,5,OID,0.9
trendnet/FW_TV-IP121WN_1.2.2.zip,6,OID,0.0
trendnet/FW_TV-IP121WN_1.2.2.zip,7,OID,1.0
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,8,MID,0.5
