firmware,module,function,category,cve_id,num_requests,TRI_cnt,TRI_avg_tte,ASA_cnt,ASA_avg_tte,STAFF_cnt,STAFF_avg_tte
DGN3500,mini_httpd,FUN_00410e6c,OIB,,,9,4h24m,10,0h54m,10,3h8m
DGN3500,rc,get_sd_info,MII,,,0,,8,3h19m,10,5h18m
DGN3500,setup.cgi,addkeyword,MID,,,0,,2,14h12m,7,16h56m
DGN3500,setup.cgi,delete,MID,,,0,,3,5h4m,0,
DGN3500,setup.cgi,find_val,MID,,,0,,2,10h18m,1,22h31m
DGN3500,setup.cgi,html_parser,MID,,,0,,10,2h18m,10,1h12m
DGN3500,setup.cgi,save,MID,,,0,,1,16h11m,4,13h35m
DGN3500,setup.cgi,set_SRouteMetric,MID,,,0,,0,,9,7h43m
DGN3500,setup.cgi,set_TimeZone,MID,,,0,,1,4h17m,0,
DGN3500,setup.cgi,set_WAN_ipType,MID,,,0,,1,22h41m,0,
DGN3500,setup.cgi,set_rule_out,MID,,,0,,3,7h40m,0,
DGN3500,setup.cgi,wizard,MID,,,0,,0,,1,6h8m
DGND3300,mini_httpd,FUN_004036e8,OIB,,,4,0h35m,0,,0,
DGND3300,mini_httpd,FUN_0040427c,OIB,,,10,0h35m,5,8h35m,6,14h7m
DGND3300,setup.cgi,addkeyword,MID,,,0,,2,7h26m,6,11h13m
DGND3300,setup.cgi,del_list,MID,,,0,,6,1h28m,4,10h50m
DGND3300,setup.cgi,find_val,MID,,,0,,1,6h35m,2,22h35m
DGND3300,setup.cgi,get_WAN_ipType,MID,,,0,,1,17h51m,2,10h31m
DGND3300,setup.cgi,html_parser,MID,,,0,,10,0h48m,10,1h0m
DGND3300,setup.cgi,save,MID,,,0,,5,12h3m,2,5h19m
DGND3300,setup.cgi,set_SRouteMetric,MID,,,0,,0,,10,4h27m
DGND3300,setup.cgi,set_TimeZone,MID,,,0,,1,0h19m,4,15h57m
DGND3300,setup.cgi,set_WAN_ipType,MID,,,0,,1,4h37m,0,
DGND3300,setup.cgi,set_rule_in,MID,,,0,,3,7h55m,2,1h15m
DGND3300,setup.cgi,set_rule_out,MID,,,0,,3,8h37m,4,8h43m
TV-IP121WN,network.cgi,main,OID,CVE-2018-19240,,0,,0,,10,0h32m
TV-IP121WN,view.cgi,main,OID,,,0,,3,5h26m,2,2h44m
TV-IP121WN,watch.cgi,main,OID,,,0,,0,,1,4h42m
TV-IP651WI,alphapd,websCgibinProcessor,MID,,,0,,0,,8,1h18m
WRT320N,httpd,filter_name,OIB,,,0,,0,,1,12h50m
WRT320N,httpd,get_cgi,OIB,,,7,15h42m,0,,7,5h23m
WRT320N,httpd,valid_hwaddr,OIB,,,0,,10,4h57m,10,1h22m
WRT320N,httpd,validate_cgi,OIB,,,6,15h48m,0,,10,3h10m
WRT320N,httpd,validate_forward_single,OIB,,,0,,3,12h13m,10,2h20m
WRT320N,httpd,validate_merge_ipaddrs,OIB,,,6,15h49m,0,,10,0h55m
JNR3210,mini_httpd,FUN_00403acc,OIB,,,2,0h22m,0,,5,10h18m
JNR3210,mini_httpd,FUN_00405c88,OIB,,,9,0h57m,10,0h39m,10,2h14m
JNR3210,setup.cgi,html_parser,OID,,,9,0h33m,10,3h52m,10,7h33m
JNR3210,setup.cgi,upgrade_main,OID,,,1,20h24m,0,,10,5h42m
TL-WPA8630 (US),httpd,FUN_004057d0,OIB,CVE-2024-57357,,0,,3,8h10m,9,11h16m
TL-WPA8630 (US),httpd,FUN_0040edfc,OIB,CVE-2023-27837,,0,,6,4h29m,7,9h49m
TL-WPA8630 (US),httpd,FUN_0041685c,OIB,CVE-2024-57357,,0,,2,7h51m,0,
TL-WPA8630 (US),httpd,FUN_00425f90,OIB,CVE-2023-27837,,10,0h0m,0,,0,
TL-WPA8630 (US),ledschd,FUN_00402320,MII,,,0,,3,6h50m,4,9h50m
DAP-2310,atp,ExeShell,MID,CVE-2016-1558,,0,,0,,4,9h13m
DAP-2310,atp,procPage,OID,,,0,,1,14h17m,0,
DAP-2310,atp,redirect_htm,MID,,,0,,0,,10,2h40m
DAP-2310,atp,rpsubname,MID,,,0,,0,,1,23h20m
DAP-2310,udhcpd,FUN_00403448,MII,,,0,,2,6h58m,2,3h23m
DAP-2310,xmldb,FUN_00408618,MII,,,0,,0,,10,2h46m
DAP-2310,xmldb,FUN_00408b50,MII,,,0,,0,,1,17h8m
DIR-300,atp,ExeShell,MID,,,0,,0,,7,11h19m
DIR-300,atp,do_xgi,MID,,,0,,0,,10,1h37m
DIR-300,atp,redirect_htm,MID,,,0,,1,11h34m,10,1h19m
DIR-300,udhcpd,FUN_00402f70,MII,,,0,,0,,8,3h38m
DIR-300,xmldb,FUN_0040b7e4,MII,,,0,,0,,10,1h31m
