firmware,module,function,category,causality_score
dlink/dap2310_v1.00_o772.bin,atp,ExeShell,MID,1.0
dlink/dap2310_v1.00_o772.bin,atp,redirect_htm,MID,1.0
dlink/dap2310_v1.00_o772.bin,atp,rpsubname,MID,1.0
dlink/dap2310_v1.00_o772.bin,udhcpd,FUN_00403448,MII,0.0
dlink/dap2310_v1.00_o772.bin,xmldb,FUN_00408618,MII,1.0
dlink/dap2310_v1.00_o772.bin,xmldb,FUN_00408b50,MII,1.0
dlink/dir300_v1.03_7c.bin,atp,ExeShell,MID,1.0
dlink/dir300_v1.03_7c.bin,atp,do_xgi,MID,1.0
dlink/dir300_v1.03_7c.bin,atp,redirect_htm,MID,1.0
dlink/dir300_v1.03_7c.bin,udhcpd,FUN_00402f70,MII,1.0
dlink/dir300_v1.03_7c.bin,xmldb,FUN_0040b7e4,MII,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,get_cgi,OIB,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,valid_hwaddr,OIB,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,validate_cgi,OIB,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,validate_forward_single,OIB,1.0
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,validate_merge_ipaddrs,OIB,1.0
netgear/DGN3500-V1.1.00.30_NA.zip,mini_httpd,FUN_00410e6c,OIB,0.0
netgear/DGN3500-V1.1.00.30_NA.zip,rc,get_sd_info,MII,0.0
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,addkeyword,MID,1.0
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,find_val,MID,1.0
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,html_parser,MID,0.6
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,save,MID,1.0
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,set_SRouteMetric,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,mini_httpd,FUN_0040427c,OIB,0.5
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,addkeyword,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,del_list,MID,0.333
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,find_val,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,get_WAN_ipType,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,html_parser,MID,0.6
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,save,MID,0.5
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,set_SRouteMetric,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,set_TimeZone,MID,1.0
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,set_rule_out,MID,0.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,mini_httpd,FUN_00403acc,OIB,1.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,mini_httpd,FUN_00405c88,OIB,0.0
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,setup.cgi,html_parser,OID,0.4
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,setup.cgi,upgrade_main,OID,1.0
tplink/TL-WPA8630_US__V2_171011.zip,httpd,FUN_004057d0,OIB,1.0
tplink/TL-WPA8630_US__V2_171011.zip,httpd,FUN_0040edfc,OIB,0.0
tplink/TL-WPA8630_US__V2_171011.zip,ledschd,FUN_00402320,MII,0.0
trendnet/FW_TV-IP121WN_1.2.2.zip,network.cgi,main,OID,1.0
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,alphapd,websCgibinProcessor,MID,0.333
