Firmware,TRI,ASA,STAFF
asus/FW_RT_N10U_B1_30043763754.zip,93.90,0.45,0.90
asus/FW_RT_N53_30043763754.zip,81.44,0.44,0.97
dlink/DIR815A1_FW104b03.bin,26.09,1.15,1.41
dlink/dap2310_v1.00_o772.bin,37.24,0.70,0.90
dlink/dir300_v1.03_7c.bin,96.70,1.01,1.91
linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,3.73,0.29,0.62
linksys/FW_WRT320N_1.0.05.002_20110331.bin,4.47,0.42,0.79
netgear/DGN3500-V1.1.00.30_NA.zip,0.59,0.19,0.32
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,34.31,0.17,0.31
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,9.29,0.17,0.37
tplink/Archer_C2_US__v1_160128.zip,472.65,0.51,1.03
tplink/TL-WPA8630_US__V2_171011.zip,697.46,0.71,1.07
trendnet/FW_TV-IP121WN_1.2.2.zip,0.56,0.41,1.00
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,77.72,2.10,13.23
trendnet/TEW-652BRU_1.00b12.zip,6.94,1.41,1.71
