brand,firmware,version,#taint_hints,#taint_runs,avg_speedup,avg_min_precision,avg_gt_size,avg_pre_size,avg_min_size,_source_db
TP-Link,Archer C2 (US),1,10.0,5.0,10.78,0.84,16.1,12.72,11.2,pre_analysis_0
D-Link,DAP-2310,1.00_o772,10.0,5.0,1.62,0.93,145.44,46.0,106.88,pre_analysis_0
NETGEAR,DGN3500,1.1.00.30,10.0,5.0,9.29,0.89,46.26,29.84,17.86,pre_analysis_0
NETGEAR,DGND3300,1.1.00.22,10.0,5.0,4.29,0.73,58.78,35.78,12.74,pre_analysis_0
D-Link,DIR-300,1.03_7c,10.0,5.0,4.61,0.91,109.6,42.94,94.3,pre_analysis_0
D-Link,DIR-815,A1 1.04b03,10.0,5.0,1.45,0.97,115.8,41.8,51.82,pre_analysis_0
Linksys,FW_RE1000 (US),1.0.02.001,10.0,5.0,4.96,0.91,19.84,12.02,17.84,pre_analysis_0
NETGEAR,JNR3210,1.1.0.14,10.0,5.0,10.22,0.95,48.72,36.26,37.9,pre_analysis_0
ASUS,RT-N10U,B1 3_0.0.4.376.3754,10.0,5.0,11.56,0.92,25.92,17.52,16.62,pre_analysis_0
ASUS,RT-N53,3_0.0.4.376.3754,10.0,5.0,8.28,0.87,21.14,12.82,15.32,pre_analysis_0
TRENDnet,TEW-652BRU,1.00b12,10.0,5.0,6.95,0.9,1.88,1.3,1.36,pre_analysis_0
TP-Link,TL-WPA8630 (US),2,10.0,5.0,16.68,0.92,18.98,13.96,16.7,pre_analysis_0
TRENDnet,TV-IP121WN,1.2.2,10.0,5.0,14.29,0.94,180.94,32.22,136.8,pre_analysis_0
TRENDnet,TV-IP651WI,1_1.07.01,10.0,5.0,1.47,0.95,19.32,62.0,17.5,pre_analysis_0
Linksys,WRT320N,1.0.05.002,10.0,5.0,5.41,0.9,21.8,10.9,17.92,pre_analysis_0
Geom. Mean,Geom. Mean,Geom. Mean,10.0,5.0,5.82,0.9,34.49,20.38,22.73,Geom. Mean
