Firmware,TRI,ASA,STAFF
asus/FW_RT_N10U_B1_30043763754.zip,135067,642,1257
asus/FW_RT_N53_30043763754.zip,117139,627,1351
dlink/DIR815A1_FW104b03.bin,35945,1661,2002
dlink/dap2310_v1.00_o772.bin,53567,1013,1229
dlink/dir300_v1.03_7c.bin,139203,1453,2671
linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,5367,423,887
linksys/FW_WRT320N_1.0.05.002_20110331.bin,6439,603,1122
netgear/DGN3500-V1.1.00.30_NA.zip,856,277,450
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,49388,238,442
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,13361,250,513
tplink/Archer_C2_US__v1_160128.zip,680372,733,1454
tplink/TL-WPA8630_US__V2_171011.zip,1004125,1019,1474
trendnet/FW_TV-IP121WN_1.2.2.zip,801,606,1477
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,111645,3021,18928
trendnet/TEW-652BRU_1.00b12.zip,10011,2040,2471
