CPU ID,Physical ID,Logical ID
0,0,0
0,0,56
0,2,2
0,2,58
0,4,4
0,4,60
0,6,6
0,6,62
0,8,8
0,8,64
0,10,10
0,10,66
0,12,12
0,12,68
0,14,14
0,14,70
0,16,16
0,16,72
0,18,18
0,18,74
0,20,20
0,20,76
0,22,22
0,22,78
0,24,24
0,24,80
0,26,26
0,26,82
0,28,28
0,28,84
0,30,30
0,30,86
0,32,32
0,32,88
0,34,34
0,34,90
0,36,36
0,36,92
0,38,38
0,38,94
0,40,40
0,40,96
0,42,42
0,42,98
0,44,44
0,44,100
0,46,46
0,46,102
0,48,48
0,48,104
0,50,50
0,50,106
0,52,52
0,52,108
0,54,54
0,54,110
1,1,1
1,1,57
1,3,3
1,3,59
1,5,5
1,5,61
1,7,7
1,7,63
1,9,9
1,9,65
1,11,11
1,11,67
1,13,13
1,13,69
1,15,15
1,15,71
1,17,17
1,17,73
1,19,19
1,19,75
1,21,21
1,21,77
1,23,23
1,23,79
1,25,25
1,25,81
1,27,27
1,27,83
1,29,29
1,29,85
1,31,31
1,31,87
1,33,33
1,33,89
1,35,35
1,35,91
1,37,37
1,37,93
1,39,39
1,39,95
1,41,41
1,41,97
1,43,43
1,43,99
1,45,45
1,45,101
1,47,47
1,47,103
1,49,49
1,49,105
1,51,51
1,51,107
1,53,53
1,53,109
1,55,55
1,55,111
