bug,seed_file,num_requests,delimiter_count
DAP-2310_atp,redirect_htm__id_1_10_113_1_000004_sig_01_src_000000_op_havoc_rep_4_28921,2,1
DAP-2310_atp,rpsubname__id_1_10_45_1_000013_sig_01_src_000000_op_havoc_rep_16_84004,2,1
DAP-2310_udhcpd,FUN_00403448__id_0_000004_sig_01_src_000001_op_havoc_rep_4_11889,3,2
DAP-2310_xmldb,FUN_00408618__id_1_5_734_1_000001_sig_01_src_000000_op_havoc_rep_32_7539,3,2
DAP-2310_xmldb_2,FUN_00408b50__id_1_16_678_3_000012_sig_01_src_000001_op_havoc_rep_4_61712,2,1
DGN3500_mini_httpd,FUN_00410e6c__id_000159_orig_id_000079_src_000000_op_ext_UI_pos_26_15882,1,0
DGN3500_rc,get_sd_info__id_0_000002_sig_01_src_000001_op_havoc_rep_128_9729,6,5
DGN3500_setup.cgi,addkeyword__id_1_34_669_1_000008_sig_01_src_000001_op_havoc_rep_16_66122,2,1
DGN3500_setup.cgi,delete__id_0_000004_sig_01_src_000073_op_havoc_rep_128_20370,2,1
DGN3500_setup.cgi,find_val__id_0_000003_sig_01_src_000012_op_havoc_rep_128_5322,2,1
DGN3500_setup.cgi,html_parser__id_0_000002_sig_01_src_000020_op_havoc_rep_32_9952,1,0
DGN3500_setup.cgi,save__id_1_17_1116_8_000009_sig_01_src_000003_op_havoc_rep_16_60724,1,0
DGN3500_setup.cgi,set_SRouteMetric__id_1_46_1089_13_000002_sig_01_src_000004_op_havoc_rep_32_19130,2,1
DGN3500_setup.cgi,set_TimeZone__id_0_000002_sig_01_src_000000_op_havoc_rep_32_15453,2,1
DGN3500_setup.cgi,set_rule_out__id_0_000006_sig_01_src_000011_op_havoc_rep_32_39019,2,1
DGND3300_mini_httpd,FUN_004036e8__id_000364_orig_id_000182_src_000007_op_ext_UI_pos_22_486,1,0
DGND3300_mini_httpd,FUN_0040427c__id_000001_orig_id_000000_src_000000_op_flip16_pos_4_10608,1,0
DGND3300_setup.cgi,addkeyword__id_1_3_669_1_000008_sig_01_src_000001_op_havoc_rep_4_49868,1,0
DGND3300_setup.cgi,del_list__id_0_000003_sig_01_src_000007_op_havoc_rep_64_5324,2,1
DGND3300_setup.cgi,find_val__id_1_3_1071_2_000012_sig_01_src_000002_op_havoc_rep_2_80845,2,1
DGND3300_setup.cgi,get_WAN_ipType__id_0_000011_sig_01_src_000179_op_havoc_rep_32_64319,2,1
DGND3300_setup.cgi,html_parser__id_1_3_1328_4_000015_sig_01_src_000004_op_havoc_rep_4_61317,1,0
DGND3300_setup.cgi,save__id_0_000005_sig_01_src_000035_op_havoc_rep_64_19555,2,1
DGND3300_setup.cgi,set_SRouteMetric__id_1_13_1121_15_000010_sig_01_src_000004_op_havoc_rep_16_26214,1,0
DGND3300_setup.cgi,set_TimeZone__id_0_000001_sig_01_src_000003_op_havoc_rep_128_1149,2,1
DGND3300_setup.cgi,set_WAN_ipType__id_0_000005_sig_01_src_000001_op_havoc_rep_64_16652,2,1
DGND3300_setup.cgi,set_rule_in__id_0_000006_sig_01_src_000026_op_havoc_rep_8_12766,2,1
DGND3300_setup.cgi,set_rule_out__id_0_000001_sig_01_src_000012_op_havoc_rep_64_2723,2,1
DIR-300_atp,ExeShell__id_1_10_90_1_000007_sig_01_src_000003_op_havoc_rep_16_30978,2,1
DIR-300_atp,redirect_htm__id_0_000000_sig_01_src_000387_op_havoc_rep_32_41676,2,1
DIR-300_atp_2,do_xgi__id_1_10_90_1_000003_sig_01_src_000003_op_havoc_rep_4_7063,2,1
DIR-300_udhcpd,FUN_00402f70__id_1_32_604_1_000006_sig_01_src_000001_op_havoc_rep_16_28456,4,3
DIR-300_xmldb,FUN_0040b7e4__id_1_58_651_1_000006_sig_01_src_000001_op_havoc_rep_2_60674,2,1
JNR3210_mini_httpd,FUN_00403acc__id_1_11_13_4_000003_sig_01_src_000001_op_havoc_rep_4_32330,1,0
JNR3210_mini_httpd_2,FUN_00405c88__id_000023_orig_id_000010_src_000000_op_ext_UI_pos_77_3850,1,0
JNR3210_setup.cgi,html_parser__id_000001_orig_id_000000_sig_01_src_000000_op_ext_UI_pos_19_2730,1,0
JNR3210_setup.cgi_2,upgrade_main__id_1_43_89_1_000000_sig_01_src_000003_op_havoc_rep_4_9407,1,0
TL-WPA8630_ledschd,FUN_00402320__id_0_000000_sig_01_src_000032_op_havoc_rep_8_15471,2,1
TV-IP121WN_view.cgi,main__id_0_000000_sig_01_src_000217_op_havoc_rep_128_53969,1,0
TV-IP651WI_alphapd,websCgibinProcessor__id_0_000000_sig_01_src_000144_op_havoc_rep_128_3428,2,1
WRT320N_httpd,get_cgi__id_000020_orig_id_000006_src_000005_op_ext_UI_pos_1186_58154,1,0
WRT320N_httpd,valid_hwaddr__id_0_000001_sig_01_src_000000_op_havoc_rep_32_1038,1,0
WRT320N_httpd,validate_cgi__id_000005_orig_id_000001_src_000005_op_ext_UI_pos_1159_57588,1,0
WRT320N_httpd,validate_forward_single__id_0_000002_sig_01_src_000001_op_havoc_rep_16_8468,1,0
WRT320N_httpd,validate_merge_ipaddrs__id_000024_orig_id_000008_src_000005_op_ext_UI_pos_1329_59583,1,0
