firmware,protocol,pcap,total_requests,total_mem_ops,total_taint_mem_ops,total_reduction_pct,avg_reduction_pct,median_reduction_pct,min_reduction_pct,max_reduction_pct,stddev_reduction_pct,error
asus/FW_RT_N10U_B1_30043763754.zip,http,user_interaction_0.pcap,138,171602983184,96386029,99.94,99.94,99.94,99.91,99.97,0.01,
asus/FW_RT_N10U_B1_30043763754.zip,http,user_interaction_1.pcap,110,256192813632,92260363,99.96,99.97,99.96,99.93,99.98,0.01,
asus/FW_RT_N10U_B1_30043763754.zip,http,user_interaction_2.pcap,121,328013355560,115139589,99.96,99.96,99.97,99.49,99.98,0.04,
asus/FW_RT_N10U_B1_30043763754.zip,http,user_interaction_3.pcap,121,215550912312,93396216,99.96,99.96,99.96,99.93,99.98,0.01,
asus/FW_RT_N53_30043763754.zip,http,user_interaction_0.pcap,77,150290106572,43094442,99.97,99.97,99.97,99.89,99.98,0.01,
asus/FW_RT_N53_30043763754.zip,http,user_interaction_1.pcap,142,393754767068,122069096,99.97,99.97,99.97,99.82,99.98,0.01,
asus/FW_RT_N53_30043763754.zip,http,user_interaction_2.pcap,67,108832618620,37649540,99.97,99.97,99.97,99.95,99.98,0.01,
asus/FW_RT_N53_30043763754.zip,http,user_interaction_3.pcap,85,135236264460,45856798,99.97,99.97,99.97,99.95,99.98,0.01,
dlink/DIR815A1_FW104b03.bin,http,user_interaction_0.pcap,15,7796454716,5266897,99.93,99.94,99.94,99.91,99.97,0.02,
dlink/DIR815A1_FW104b03.bin,http,user_interaction_1.pcap,17,15985003944,6079956,99.96,99.96,99.96,99.95,99.98,0.01,
dlink/DIR815A1_FW104b03.bin,http,user_interaction_2.pcap,30,30983551932,20230102,99.93,99.94,99.94,99.92,99.98,0.02,
dlink/DIR815A1_FW104b03.bin,http,user_interaction_3.pcap,24,20782441864,8194079,99.96,99.96,99.96,99.95,99.98,0.01,
dlink/DIR815A1_FW104b03.bin,http,user_interaction_4.pcap,31,36748696404,15812694,99.96,99.96,99.96,99.96,99.98,0.01,
dlink/dap2310_v1.00_o772.bin,http,user_interaction_0.pcap,14,8456847660,4164458,99.95,99.96,99.97,99.94,99.97,0.01,
dlink/dap2310_v1.00_o772.bin,http,user_interaction_1.pcap,29,28231020672,19392057,99.93,99.95,99.94,99.93,99.98,0.02,
dlink/dap2310_v1.00_o772.bin,http,user_interaction_2.pcap,57,125621540788,81249132,99.94,99.94,99.97,99.40,99.97,0.07,
dlink/dap2310_v1.00_o772.bin,http,user_interaction_3.pcap,38,56644570728,22993713,99.96,99.96,99.96,99.96,99.97,0.00,
dlink/dir300_v1.03_7c.bin,http,user_interaction_0.pcap,63,53348456892,69431579,99.87,99.90,99.89,99.80,99.96,0.05,
dlink/dir300_v1.03_7c.bin,http,user_interaction_1.pcap,79,77043135160,207338966,99.73,99.81,99.89,99.55,99.96,0.14,
dlink/dir300_v1.03_7c.bin,http,user_interaction_2.pcap,91,114141550240,162511336,99.86,99.89,99.86,99.79,99.97,0.05,
dlink/dir300_v1.03_7c.bin,http,user_interaction_3.pcap,42,36229872968,35928447,99.90,99.91,99.93,99.87,99.95,0.03,
linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,http,user_interaction_0.pcap,13,25003770772,2124164,99.99,99.99,99.99,99.95,100.00,0.01,
linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,http,user_interaction_1.pcap,12,20994954064,1157010,99.99,99.99,100.00,99.99,100.00,0.00,
linksys/FW_WRT320N_1.0.05.002_20110331.bin,http,user_interaction_0.pcap,13,20580827364,888352,100.00,99.99,100.00,99.98,100.00,0.01,
linksys/FW_WRT320N_1.0.05.002_20110331.bin,http,user_interaction_1.pcap,11,18334428608,620375,100.00,99.99,100.00,99.98,100.00,0.01,
linksys/FW_WRT320N_1.0.05.002_20110331.bin,http,user_interaction_2.pcap,17,49515321580,2000380,100.00,99.99,100.00,99.95,100.00,0.01,
linksys/FW_WRT320N_1.0.05.002_20110331.bin,http,user_interaction_3.pcap,14,22679621624,934494,100.00,100.00,100.00,99.98,100.00,0.00,
netgear/DGN3500-V1.1.00.30_NA.zip,http,user_interaction_0.pcap,73,96532239284,54166748,99.94,99.94,99.93,99.93,99.96,0.01,
netgear/DGN3500-V1.1.00.30_NA.zip,http,user_interaction_1.pcap,85,172481200508,75655553,99.96,99.94,99.96,99.47,99.97,0.05,
netgear/DGN3500-V1.1.00.30_NA.zip,http,user_interaction_2.pcap,74,87954831468,63122236,99.93,99.93,99.93,99.92,99.94,0.01,
netgear/DGN3500-V1.1.00.30_NA.zip,http,user_interaction_3.pcap,45,32839246980,22384065,99.93,99.93,99.93,99.92,99.94,0.01,
netgear/DGN3500-V1.1.00.30_NA.zip,http,user_interaction_4.pcap,76,171983567864,83998322,99.95,99.91,99.92,98.85,99.99,0.12,
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_0.pcap,17,7823124812,3337704,99.96,99.96,99.96,99.95,99.97,0.01,
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_1.pcap,43,37413220972,25473951,99.93,99.94,99.94,99.92,99.97,0.01,
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_2.pcap,9,3396975136,2268624,99.93,99.95,99.96,99.89,99.97,0.03,
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_3.pcap,26,30805638544,49293094,99.84,99.85,99.85,99.77,99.97,0.05,
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_4.pcap,26,28258108512,35077032,99.88,99.85,99.84,99.79,99.98,0.06,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_0.pcap,114,153862651024,189709098,99.88,99.89,99.88,99.87,99.97,0.02,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_1.pcap,133,201551604080,250272991,99.88,99.89,99.89,99.86,99.96,0.02,
