,,,,GENERAL,,PRE-ANALYSIS,,,,EMULATION_TRACING,GENERAL_FUZZING,,,,,,,,,,AFLNET_FUZZING,,,STAFF_FUZZING,,,,EXTRA_FUZZING,
status,exp_name,container_name,num_cores,mode (M),firmware (F),pre_analysis_id (PAI),subregion_divisor (SD),min_subregion_len (MSL),delta_threshold (DT),include_libraries (IL),map_size_pow2 (MSP),fuzz_tmout (FT),timeout (T),afl_no_arith (ANA),afl_no_bitflip (ANB),afl_no_interest (ANI),afl_no_user_extras (ANU),afl_no_extras (ANE),afl_calibration (AC),afl_shuffle_queue (ASQ),region_delimiter (RD),proto (P),region_level_mutation (RLM),taint_hints_all_at_once (THA),sequence_minimization (SM),taint_metrics (TM),checkpoint_strategy (CS),coverage_tracing (CT),stage_max (SMA)
succeeded,exp_0,crash_analysis_0,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_1,crash_analysis_1,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_2,crash_analysis_2,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
succeeded,exp_3,crash_analysis_3,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_4,crash_analysis_4,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_5,crash_analysis_5,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_6,crash_analysis_6,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_7,crash_analysis_7,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_8,crash_analysis_8,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_9,crash_analysis_9,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_10,crash_analysis_10,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_11,crash_analysis_11,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
succeeded,exp_12,crash_analysis_12,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_13,crash_analysis_13,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_14,crash_analysis_14,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_15,crash_analysis_15,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_16,crash_analysis_16,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_17,crash_analysis_17,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_18,crash_analysis_18,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_19,crash_analysis_19,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_20,crash_analysis_20,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_21,crash_analysis_21,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_22,crash_analysis_22,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_23,crash_analysis_23,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
